name,category,country_code,month_index
abacaxi_havaí,fruit,BR,1
abacate_fucks/geada,fruit,BR,1
carambola,fruit,BR,1
cupuaçu,fruit,BR,1
figo,fruit,BR,1
goiaba,fruit,BR,1
graviola,fruit,BR,1
jaca,fruit,BR,1
laranja_pera,fruit,BR,1
limão_taiti,fruit,BR,1
mamão_formosa,fruit,BR,1
manga_palmer,fruit,BR,1
maracujá_doce,fruit,BR,1
marmelo,fruit,BR,1
nectarina_estrangeira,fruit,BR,1
pêssego_estrangeiro,fruit,BR,1
pinha,fruit,BR,1
pitaia,fruit,BR,1
sapoti,fruit,BR,1
abobrinha_brasileira,vegetable,BR,1
berinjela_japonesa,vegetable,BR,1
beterraba,vegetable,BR,1
jiló,vegetable,BR,1
pimenta_cambuci,vegetable,BR,1
pimentão_verde,vegetable,BR,1
quiabo,vegetable,BR,1
tomate,vegetable,BR,1
tomate_salada,vegetable,BR,1
cebola_nacional,vegetable,BR,1
cebola_sc,vegetable,BR,1
alface,green,BR,1
gengibre_com_folha,green,BR,1
salsa,green,BR,1
abacate_fucks/geada,fruit,BR,2
abacaxi_havaí,fruit,BR,2
ameixa_estrangeira,fruit,BR,2
carambola,fruit,BR,2
figo,fruit,BR,2
goiaba,fruit,BR,2
laranja_pera,fruit,BR,2
limão_taiti,fruit,BR,2
maçã_nacional_gala,fruit,BR,2
mamão_formosa,fruit,BR,2
manga_palmer,fruit,BR,2
melancia,fruit,BR,2
pêra_nacional,fruit,BR,2
pêssego_estrangeiro,fruit,BR,2
pinha,fruit,BR,2
pitaia,fruit,BR,2
seriguela,fruit,BR,2
uva_rubi,fruit,BR,2
uva_estrangeira,fruit,BR,2
abóbora_d'água,vegetable,BR,2
abóbora_seca,vegetable,BR,2
abobrinha_brasileira,vegetable,BR,2
berinjela_japonesa,vegetable,BR,2
beterraba,vegetable,BR,2
pimenta_cambuci,vegetable,BR,2
pimenta_vermelha,vegetable,BR,2
quiabo,vegetable,BR,2
tomate,vegetable,BR,2
cebola_nacional,vegetable,BR,2
cebola_sc,vegetable,BR,2
alface,green,BR,2
chicória,green,BR,2
gengibre_com_folha,green,BR,2
abacate_fortuna/quintal,fruit,BR,3
abiu,fruit,BR,3
ameixa_estrangeira,fruit,BR,3
